AW   15  0.944522  0.938030  1.001644  0.695363 -0.067849  0.050603 -0.016330  0.116432
AW   16  0.944522  0.938030  1.001644  0.695363 -0.067849  0.050603 -0.016330  0.116432
AW   17  0.790406  1.026943  0.997524  0.600584 -0.065681 -0.173812  0.121363  0.063253
AW   18  0.790406  1.026943  0.997524  0.600584 -0.065681 -0.173812  0.121363  0.063253
AW   19  0.790406  1.026943  0.997524  0.600584 -0.065681 -0.173812  0.121363  0.063253
AW   20  0.790406  1.026943  0.997524  0.600584 -0.065681 -0.173812  0.121363  0.063253
AW   21  0.790406  1.026943  0.997524  0.600584 -0.065681 -0.173812  0.121363  0.063253
SB    0  0.940695  0.957211  0.999640  1.395784 -0.344672  2.835917 -1.396460  0.152487
SB    1  0.929037  0.967718  0.998511  1.236597 -0.308204  2.535507 -1.222060  0.146243
SB    2  0.929037  0.967718  0.998511  1.236597 -0.308204  2.535507 -1.222060  0.146243
SB    3  0.929037  0.967718  0.998511  1.236597 -0.308204  2.535507 -1.222060  0.146243
SB    4  0.929037  0.967718  0.998511  1.236597 -0.308204  2.535507 -1.222060  0.146243
SB    5  0.929037  0.967718  0.998511  1.236597 -0.308204  2.535507 -1.222060  0.146243
SB    6  0.929037  0.967718  0.998511  1.236597 -0.308204  2.535507 -1.222060  0.146243
SB    7  0.957624  0.946740  1.000452  1.430462 -0.356702  2.950725 -1.455471  0.154263
SB    8  0.957624  0.946740  1.000452  1.430462 -0.356702  2.950725 -1.455471  0.154263
SB    9  0.957624  0.946740  1.000452  1.430462 -0.356702  2.950725 -1.455471  0.154263
SB   10  0.957624  0.946740  1.000452  1.430462 -0.356702  2.950725 -1.455471  0.154263
SB   11  0.957624  0.946740  1.000452  1.430462 -0.356702  2.950725 -1.455471  0.154263
SB   12  0.929037  0.967718  0.998511  1.236597 -0.308204  2.535507 -1.222060  0.146243
SB   13  0.929037  0.967718  0.998511  1.236597 -0.308204  2.535507 -1.222060  0.146243
SB   14  0.929037  0.967718  0.998511  1.236597 -0.308204  2.535507 -1.222060  0.146243
SB   15  0.929037  0.967718  0.998511  1.236597 -0.308204  2.535507 -1.222060  0.146243
SB   16  0.929037  0.967718  0.998511  1.236597 -0.308204  2.535507 -1.222060  0.146243
SB   17  0.940695  0.957211  0.999640  1.395784 -0.344672  2.835917 -1.396460  0.152487
SB   18  0.940695  0.957211  0.999640  1.395784 -0.344672  2.835917 -1.396460  0.152487
SB   19  0.940695  0.957211  0.999640  1.395784 -0.344672  2.835917 -1.396460  0.152487
SB   20  0.940695  0.957211  0.999640  1.395784 -0.344672  2.835917 -1.396460  0.152487
SB   21  0.940695  0.957211  0.999640  1.395784 -0.344672  2.835917 -1.396460  0.152487
FB    0  1.002016  0.944076  0.999921  1.336330 -0.320352  2.839497 -1.324815  0.077452
FB    1  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FB    2  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FB    3  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FB    4  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FB    5  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FB    6  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FB    7  1.108006  0.898380  1.001816  1.338336 -0.304630  2.694363 -1.277617  0.087438
FB    8  1.108006  0.898380  1.001816  1.338336 -0.304630  2.694363 -1.277617  0.087438
FB    9  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FB   10  1.108006  0.898380  1.001816  1.338336 -0.304630  2.694363 -1.277617  0.087438
FB   11  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FB   12  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FB   13  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FB   14  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FB   15  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FB   16  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FB   17  1.002016  0.944076  0.999921  1.336330 -0.320352  2.839497 -1.324815  0.077452
FB   18  1.002016  0.944076  0.999921  1.336330 -0.320352  2.839497 -1.324815  0.077452
FB   19  1.002016  0.944076  0.999921  1.336330 -0.320352  2.839497 -1.324815  0.077452
FB   20  1.002016  0.944076  0.999921  1.336330 -0.320352  2.839497 -1.324815  0.077452
FB   21  1.002016  0.944076  0.999921  1.336330 -0.320352  2.839497 -1.324815  0.077452
FA    0  1.002016  0.944076  0.999921  1.336330 -0.320352  2.839497 -1.324815  0.077452
FA    1  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FA    2  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FA    3  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FA    4  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FA    5  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FA    6  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FA    7  1.108006  0.898380  1.001816  1.338336 -0.304630  2.694363 -1.277617  0.087438
FA    8  1.108006  0.898380  1.001816  1.338336 -0.304630  2.694363 -1.277617  0.087438
FA    9  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FA   10  1.108006  0.898380  1.001816  1.338336 -0.304630  2.694363 -1.277617  0.087438
FA   11  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FA   12  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FA   13  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FA   14  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
FA   15  0.918647  0.990225  0.997292  1.568514 -0.384262  3.503466 -1.677185  0.128169
