species,natsub,a0,a1,a2,b1,b2,b3,b4,b5,k7,k8
SW,7,0.713393,1.071533,0.996067,1.153679,-0.283807,2.022713,-0.953783,0.101608,0.521645,1.024172
SW,8,0.713393,1.071533,0.996067,1.153679,-0.283807,2.022713,-0.953783,0.101608,0.521645,1.024172
SW,9,0.862685,0.993148,0.998773,1.135018,-0.252377,1.885321,-0.921437,0.150228,0.536767,1.0227
SW,10,0.713393,1.071533,0.996067,1.153679,-0.283807,2.022713,-0.953783,0.101608,0.521645,1.024172
SW,11,0.862685,0.993148,0.998773,1.135018,-0.252377,1.885321,-0.921437,0.150228,0.536767,1.0227
SW,12,0.903528,0.975136,0.999018,0.846981,-0.244969,1.783097,-0.730236,0.040997,0.413577,1.028342
SW,13,0.903528,0.975136,0.999018,0.846981,-0.244969,1.783097,-0.730236,0.040997,0.413577,1.028342
SW,14,0.862685,0.993148,0.998773,1.135018,-0.252377,1.885321,-0.921437,0.150228,0.536767,1.0227
SW,15,0.903528,0.975136,0.999018,0.846981,-0.244969,1.783097,-0.730236,0.040997,0.413577,1.028342
SW,16,0.903528,0.975136,0.999018,0.846981,-0.244969,1.783097,-0.730236,0.040997,0.413577,1.028342
SW,17,0.860438,0.995406,0.998493,1.040218,-0.252387,1.842818,-0.852227,0.110359,0.484768,1.024893
SW,18,0.860438,0.995406,0.998493,1.040218,-0.252387,1.842818,-0.852227,0.110359,0.484768,1.024893
SW,19,0.860438,0.995406,0.998493,1.040218,-0.252387,1.842818,-0.852227,0.110359,0.484768,1.024893
SW,20,0.860438,0.995406,0.998493,1.040218,-0.252387,1.842818,-0.852227,0.110359,0.484768,1.024893
