species,natsub,a0,a1,a2,b1,b2,b3,b4,b5,k7,k8
FA,13,0.918647,0.990225,0.997292,1.568514,-0.384262,3.503466,-1.677185,0.128169,0.249035,1.050236
FA,14,0.918647,0.990225,0.997292,1.568514,-0.384262,3.503466,-1.677185,0.128169,0.249035,1.050236
FA,15,0.918647,0.990225,0.997292,1.568514,-0.384262,3.503466,-1.677185,0.128169,0.249035,1.050236
FA,16,0.918647,0.990225,0.997292,1.568514,-0.384262,3.503466,-1.677185,0.128169,0.249035,1.050236
FA,17,1.002016,0.944076,0.999921,1.33633,-0.320352,2.839497,-1.324815,0.077452,0.28994,1.051003
FA,18,1.002016,0.944076,0.999921,1.33633,-0.320352,2.839497,-1.324815,0.077452,0.28994,1.051003
FA,19,1.002016,0.944076,0.999921,1.33633,-0.320352,2.839497,-1.324815,0.077452,0.28994,1.051003
FA,20,1.002016,0.944076,0.999921,1.33633,-0.320352,2.839497,-1.324815,0.077452,0.28994,1.051003
FB,0,1.002016,0.944076,0.999921,1.33633,-0.320352,2.839497,-1.324815,0.077452,0.28994,1.051003
FB,1,0.918647,0.990225,0.997292,1.568514,-0.384262,3.503466,-1.677185,0.128169,0.249035,1.050236
FB,2,0.918647,0.990225,0.997292,1.568514,-0.384262,3.503466,-1.677185,0.128169,0.249035,1.050236
FB,3,0.918647,0.990225,0.997292,1.568514,-0.384262,3.503466,-1.677185,0.128169,0.249035,1.050236
FB,4,0.918647,0.990225,0.997292,1.568514,-0.384262,3.503466,-1.677185,0.128169,0.249035,1.050236
FB,5,0.918647,0.990225,0.997292,1.568514,-0.384262,3.503466,-1.677185,0.128169,0.249035,1.050236
FB,6,0.918647,0.990225,0.997292,1.568514,-0.384262,3.503466,-1.677185,0.128169,0.249035,1.050236
FB,7,1.108006,0.89838,1.001816,1.338336,-0.30463,2.694363,-1.277617,0.087438,0.323616,1.050716
FB,8,1.108006,0.89838,1.001816,1.338336,-0.30463,2.694363,-1.277617,0.087438,0.323616,1.050716
FB,9,0.918647,0.990225,0.997292,1.568514,-0.384262,3.503466,-1.677185,0.128169,0.249035,1.050236
FB,10,1.108006,0.89838,1.001816,1.338336,-0.30463,2.694363,-1.277617,0.087438,0.323616,1.050716
FB,11,0.918647,0.990225,0.997292,1.568514,-0.384262,3.503466,-1.677185,0.128169,0.249035,1.050236
FB,12,0.918647,0.990225,0.997292,1.568514,-0.384262,3.503466,-1.677185,0.128169,0.249035,1.050236
FB,13,0.918647,0.990225,0.997292,1.568514,-0.384262,3.503466,-1.677185,0.128169,0.249035,1.050236
FB,14,0.918647,0.990225,0.997292,1.568514,-0.384262,3.503466,-1.677185,0.128169,0.249035,1.050236
FB,15,0.918647,0.990225,0.997292,1.568514,-0.384262,3.503466,-1.677185,0.128169,0.249035,1.050236
FB,16,0.918647,0.990225,0.997292,1.568514,-0.384262,3.503466,-1.677185,0.128169,0.249035,1.050236
FB,17,1.002016,0.944076,0.999921,1.33633,-0.320352,2.839497,-1.324815,0.077452,0.28994,1.051003
FB,18,1.002016,0.944076,0.999921,1.33633,-0.320352,2.839497,-1.324815,0.077452,0.28994,1.051003
FB,19,1.002016,0.944076,0.999921,1.33633,-0.320352,2.839497,-1.324815,0.077452,0.28994,1.051003
FB,20,1.002016,0.944076,0.999921,1.33633,-0.320352,2.839497,-1.324815,0.077452,0.28994,1.051003
FD,0,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
FD,1,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
FD,2,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
FD,3,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
FD,4,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
FD,5,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
FD,6,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
FD,7,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
FD,8,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
FD,9,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
FD,10,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
FD,11,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
FD,12,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
FD,13,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
FD,14,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
FD,15,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
FD,16,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
FD,17,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
FD,18,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
FD,19,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
FD,20,0.913153,0.964386,0.998391,1.386315,-0.286495,1.783899,-0.916932,0.05883,-0.095253,1.123153
LT,0,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
LT,1,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
LT,2,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
LT,3,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
LT,4,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
LT,5,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
LT,6,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
LT,7,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
LT,8,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
LT,9,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
LT,10,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
LT,11,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
LT,12,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
LT,13,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
LT,14,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
LT,15,0.933517,0.965471,0.998393,2.079455,-0.462028,3.732057,-1.950194,0.190425,0.37887,1.034008
